state,year,blood_type,donations
Johor,2006,a,2132
Johor,2006,ab,537
Johor,2006,b,2236
Johor,2006,o,3582
Johor,2007,a,1529
Johor,2007,ab,436
Johor,2007,b,1740
Johor,2007,o,2757
Johor,2008,a,2257
Johor,2008,ab,596
Johor,2008,b,2523
Johor,2008,o,3960
Johor,2009,a,6382
Johor,2009,ab,1552
Johor,2009,b,6873
Johor,2009,o,10895
Johor,2010,a,7890
Johor,2010,ab,2110
Johor,2010,b,8822
Johor,2010,o,13713
Johor,2011,a,8094
Johor,2011,ab,1733
Johor,2011,b,8978
Johor,2011,o,14007
Johor,2012,a,8642
Johor,2012,ab,1795
Johor,2012,b,9228
Johor,2012,o,14515
Johor,2013,a,8672
Johor,2013,ab,1822
Johor,2013,b,9362
Johor,2013,o,14514
Johor,2014,a,8944
Johor,2014,ab,2152
Johor,2014,b,9686
Johor,2014,o,15038
Johor,2015,a,9008
Johor,2015,ab,1989
Johor,2015,b,10031
Johor,2015,o,15884
Johor,2016,a,7585
Johor,2016,ab,1740
Johor,2016,b,8081
Johor,2016,o,13195
Johor,2017,a,8521
Johor,2017,ab,1797
Johor,2017,b,9201
Johor,2017,o,15029
Johor,2018,a,8969
Johor,2018,ab,1968
Johor,2018,b,9846
Johor,2018,o,15901
Johor,2019,a,10277
Johor,2019,ab,2128
Johor,2019,b,11043
Johor,2019,o,17813
Johor,2020,a,9924
Johor,2020,ab,2093
Johor,2020,b,10996
Johor,2020,o,17692
Johor,2021,a,9745
Johor,2021,ab,2162
Johor,2021,b,10870
Johor,2021,o,17632
Johor,2022,a,10550
Johor,2022,ab,2145
Johor,2022,b,11569
Johor,2022,o,18568
Johor,2023,a,10621
Johor,2023,ab,2296
Johor,2023,b,11664
Johor,2023,o,19124
Kedah,2006,a,7687
Kedah,2006,ab,2268
Kedah,2006,b,8433
Kedah,2006,o,11668
Kedah,2007,a,6859
Kedah,2007,ab,2008
Kedah,2007,b,7787
Kedah,2007,o,10472
Kedah,2008,a,10695
Kedah,2008,ab,3064
Kedah,2008,b,12130
Kedah,2008,o,16850
Kedah,2009,a,11233
Kedah,2009,ab,3118
Kedah,2009,b,12816
Kedah,2009,o,17695
Kedah,2010,a,11936
Kedah,2010,ab,3323
Kedah,2010,b,13263
Kedah,2010,o,18779
Kedah,2011,a,13559
Kedah,2011,ab,3729
Kedah,2011,b,14896
Kedah,2011,o,21130
Kedah,2012,a,13610
Kedah,2012,ab,3783
Kedah,2012,b,15184
Kedah,2012,o,21087
Kedah,2013,a,13997
Kedah,2013,ab,3829
Kedah,2013,b,15557
Kedah,2013,o,21606
Kedah,2014,a,14475
Kedah,2014,ab,4006
Kedah,2014,b,16235
Kedah,2014,o,22298
Kedah,2015,a,15103
Kedah,2015,ab,4166
Kedah,2015,b,16991
Kedah,2015,o,23628
Kedah,2016,a,14555
Kedah,2016,ab,4092
Kedah,2016,b,16528
Kedah,2016,o,23575
Kedah,2017,a,15328
Kedah,2017,ab,4376
Kedah,2017,b,17383
Kedah,2017,o,24299
Kedah,2018,a,15399
Kedah,2018,ab,4305
Kedah,2018,b,17389
Kedah,2018,o,24776
Kedah,2019,a,10539
Kedah,2019,ab,2869
Kedah,2019,b,11979
Kedah,2019,o,17119
Kedah,2020,a,4647
Kedah,2020,ab,1272
Kedah,2020,b,5286
Kedah,2020,o,7671
Kedah,2021,a,4852
Kedah,2021,ab,1234
Kedah,2021,b,5692
Kedah,2021,o,8168
Kedah,2022,a,5211
Kedah,2022,ab,1327
Kedah,2022,b,5944
Kedah,2022,o,8646
Kedah,2023,a,5420
Kedah,2023,ab,1345
Kedah,2023,b,6044
Kedah,2023,o,8754
Kelantan,2006,a,1266
Kelantan,2006,ab,371
Kelantan,2006,b,1453
Kelantan,2006,o,2238
Kelantan,2007,a,2493
Kelantan,2007,ab,646
Kelantan,2007,b,2603
Kelantan,2007,o,4044
Kelantan,2008,a,2787
Kelantan,2008,ab,818
Kelantan,2008,b,3001
Kelantan,2008,o,4702
Kelantan,2009,a,3032
Kelantan,2009,ab,757
Kelantan,2009,b,3031
Kelantan,2009,o,4700
Kelantan,2010,a,3051
Kelantan,2010,ab,930
Kelantan,2010,b,3679
Kelantan,2010,o,4947
Kelantan,2011,a,2633
Kelantan,2011,ab,787
Kelantan,2011,b,3156
Kelantan,2011,o,4340
Kelantan,2012,a,2414
Kelantan,2012,ab,682
Kelantan,2012,b,2599
Kelantan,2012,o,3356
Kelantan,2013,a,2660
Kelantan,2013,ab,706
Kelantan,2013,b,2963
Kelantan,2013,o,4022
Kelantan,2014,a,2732
Kelantan,2014,ab,749
Kelantan,2014,b,3132
Kelantan,2014,o,3891
Kelantan,2015,a,4356
Kelantan,2015,ab,1069
Kelantan,2015,b,4179
Kelantan,2015,o,5864
Kelantan,2016,a,4045
Kelantan,2016,ab,1012
Kelantan,2016,b,4159
Kelantan,2016,o,5895
Kelantan,2017,a,11
Kelantan,2017,ab,3
Kelantan,2017,b,13
Kelantan,2017,o,8
Kelantan,2018,a,3888
Kelantan,2018,ab,999
Kelantan,2018,b,3981
Kelantan,2018,o,5640
Kelantan,2019,a,3067
Kelantan,2019,ab,801
Kelantan,2019,b,3046
Kelantan,2019,o,4669
Kelantan,2020,a,3401
Kelantan,2020,ab,865
Kelantan,2020,b,3364
Kelantan,2020,o,5127
Kelantan,2021,a,3144
Kelantan,2021,ab,919
Kelantan,2021,b,3210
Kelantan,2021,o,4822
Kelantan,2022,a,4042
Kelantan,2022,ab,1010
Kelantan,2022,b,3838
Kelantan,2022,o,6169
Kelantan,2023,a,4424
Kelantan,2023,ab,1109
Kelantan,2023,b,4544
Kelantan,2023,o,6639
Melaka,2006,a,1746
Melaka,2006,ab,472
Melaka,2006,b,1842
Melaka,2006,o,2916
Melaka,2007,a,6113
Melaka,2007,ab,1620
Melaka,2007,b,6420
Melaka,2007,o,9925
Melaka,2008,a,6573
Melaka,2008,ab,1648
Melaka,2008,b,7086
Melaka,2008,o,10800
Melaka,2009,a,6809
Melaka,2009,ab,1740
Melaka,2009,b,7161
Melaka,2009,o,10943
Melaka,2010,a,7036
Melaka,2010,ab,1732
Melaka,2010,b,7351
Melaka,2010,o,11222
Melaka,2011,a,6883
Melaka,2011,ab,1795
Melaka,2011,b,7399
Melaka,2011,o,11455
Melaka,2012,a,7076
Melaka,2012,ab,1838
Melaka,2012,b,7442
Melaka,2012,o,11451
Melaka,2013,a,7352
Melaka,2013,ab,1920
Melaka,2013,b,7858
Melaka,2013,o,12026
Melaka,2014,a,7113
Melaka,2014,ab,1825
Melaka,2014,b,7579
Melaka,2014,o,11562
Melaka,2015,a,7200
Melaka,2015,ab,1883
Melaka,2015,b,7643
Melaka,2015,o,11813
Melaka,2016,a,7744
Melaka,2016,ab,1930
Melaka,2016,b,7922
Melaka,2016,o,12346
Melaka,2017,a,7754
Melaka,2017,ab,1922
Melaka,2017,b,7814
Melaka,2017,o,12743
Melaka,2018,a,7678
Melaka,2018,ab,1896
Melaka,2018,b,7947
Melaka,2018,o,12649
Melaka,2019,a,7790
Melaka,2019,ab,1835
Melaka,2019,b,7790
Melaka,2019,o,12818
Melaka,2020,a,7072
Melaka,2020,ab,1690
Melaka,2020,b,7316
Melaka,2020,o,11458
Melaka,2021,a,7082
Melaka,2021,ab,1788
Melaka,2021,b,7471
Melaka,2021,o,11615
Melaka,2022,a,7676
Melaka,2022,ab,1795
Melaka,2022,b,8114
Melaka,2022,o,12925
Melaka,2023,a,7280
