state,year,population,donations,income_mean,income_median
Johor,2006,3134400.0,8487,,
Johor,2007,3193500.0,6462,3457.0,2726.0
Johor,2008,3252300.0,9336,,
Johor,2009,3309400.0,25702,3835.0,2958.0
Johor,2010,3362900.0,32535,,
Johor,2011,3410500.0,32812,,
Johor,2012,3450400.0,34180,4658.0,3650.0
Johor,2013,3474400.0,34370,,
Johor,2014,3559800.0,35820,6207.0,5197.0
Johor,2015,3610300.0,36912,,
Johor,2016,3651800.0,30601,6928.0,5652.0
Johor,2017,3697000.0,34549,,
Johor,2018,3749400.0,36684,,
Johor,2019,3761200.0,41261,8013.0,6427.0
Johor,2020,4009700.0,40705,7264.0,5690.0
Johor,2021,4020000.0,40409,,
Johor,2022,4028300.0,42832,8517.0,6879.0
Johor,2023,4107200.0,43706,,
Johor,2024,4186300.0,35364,,
Kedah,2006,1847500.0,30056,,
Kedah,2007,1874200.0,27126,2408.0,1756.0
Kedah,2008,1900200.0,42739,,
Kedah,2009,1925300.0,44862,2667.0,1966.0
Kedah,2010,1949300.0,47301,,
Kedah,2011,1971800.0,53314,,
Kedah,2012,2001100.0,53664,3425.0,2633.0
Kedah,2013,2039800.0,54989,,
Kedah,2014,2062699.9999999998,57014,4478.0,3451.0
Kedah,2015,2096500.0,59888,,
Kedah,2016,2119700.0,58750,4971.0,3811.0
Kedah,2017,2143900.0,61386,,
Kedah,2018,2163000.0,61869,,
Kedah,2019,2173700.0,42506,5522.0,4325.0
Kedah,2020,2131400.0,18876,5005.0,3829.0
Kedah,2021,2151700.0,19946,,
Kedah,2022,2163100.0,21128,5550.0,4402.0
Kedah,2023,2189300.0,21564,,
Kedah,2024,2217500.0,16228,,
Kelantan,2006,1507600.0,5328,,
Kelantan,2007,1529100.0,9786,2143.0,1510.0
Kelantan,2008,1549800.0,11308,,
Kelantan,2009,1570000.0,11520,2536.0,1713.0
Kelantan,2010,1589900.0,12607,,
Kelantan,2011,1618800.0,10916,,
Kelantan,2012,1651000.0,9052,3168.0,2276.0
Kelantan,2013,1683500.0,10351,,
Kelantan,2014,1723400.0,10504,3715.0,2716.0
Kelantan,2015,1760600.0,15468,,
Kelantan,2016,1796700.0,15111,4214.0,3079.0
Kelantan,2017,1829000.0,35,,
Kelantan,2018,1860500.0,14508,,
Kelantan,2019,1883800.0,11583,4874.0,3563.0
Kelantan,2020,1792500.0,12757,4411.0,3010.0
Kelantan,2021,1812300.0,12095,,
Kelantan,2022,1830600.0,15060,4885.0,3614.0
Kelantan,2023,1859800.0,16716,,
Kelantan,2024,1888500.0,14769,,
Melaka,2006,755000.0,6976,,
Melaka,2007,772800.0,24078,3421.0,2717.0
Melaka,2008,790500.0,26107,,
Melaka,2009,807800.0,26653,4184.0,3005.0
Melaka,2010,823600.0,27341,,
Melaka,2011,833200.0,27532,,
Melaka,2012,843200.0,27807,4759.0,3923.0
Melaka,2013,856700.0,29156,,
Melaka,2014,871700.0,28079,6046.0,5029.0
Melaka,2015,889000.0,28539,,
Melaka,2016,901100.0,29942,6849.0,5588.0
Melaka,2017,913100.0,30233,,
Melaka,2018,922400.0,30170,,
Melaka,2019,928400.0,30233,7741.0,6054.0
Melaka,2020,998400.0,27536,7186.0,5447.0
Melaka,2021,1004500.0,27956,,
Melaka,2022,1008600.0,30510,8057.0,6210.0
Melaka,2023,1028300.0,28445,,
Melaka,2024,1047099.9999999999,22514,,
Negeri Sembilan,2006,967000.0,3887,,
Negeri Sembilan,2007,983500.0,13284,3336.0,2556.0
Negeri Sembilan,2008,999600.0,13723,,
Negeri Sembilan,2009,1014900.0,13001,3540.0,2711.0
Negeri Sembilan,2010,1029500.0,14111,,
Negeri Sembilan,2011,1047400.0000000001,14498,,
Negeri Sembilan,2012,1057700.0,14299,4576.0,3575.0
Negeri Sembilan,2013,1072200.0,15834,,
Negeri Sembilan,2014,1079600.0,14785,5271.0,4128.0
